,Close,sma_200,trend_above_sma,trip_count,timing_on,combined_invested,always_timing_invested,signal_score,combined_equity,always_timing_equity,buy_hold_equity,combined_growth_10k,always_timing_growth_10k,buy_hold_growth_10k,trend_level
2002-08-31,59.233612060546875,68.66540191650391,False,2,True,False,False,3.0,132.7472852473501,130.15422502482917,64.21937626134635,1327472.852473501,1301542.2502482918,642193.7626134636,68.66540191650391
2002-09-30,53.022823333740234,66.94860918045043,False,2,True,False,False,3.0,132.91670062595853,130.32033107565329,57.485817995157426,1329167.0062595853,1303203.310756533,574858.1799515743,66.94860918045043
2002-10-31,57.38576126098633,64.86825462341308,False,1,False,True,False,1.0,145.65330476290822,130.5125834069671,62.21598964277395,1456533.047629082,1305125.834069671,622159.8964277395,64.86825462341308
2002-11-30,60.92535400390625,63.63405382156372,False,2,True,False,False,2.0,148.74564446048998,130.67531883498202,66.05351415397806,1487456.4446048997,1306753.1883498202,660535.1415397805,63.63405382156372
2002-12-31,57.478843688964844,62.13535312652588,False,3,True,False,False,4.0,148.89725592302614,130.80851181873498,62.31690693040378,1488972.5592302615,1308085.1181873498,623169.0693040378,62.13535312652588
2003-01-31,56.06513595581055,60.616087455749515,False,2,True,False,False,3.0,149.04458059573895,130.93793879220263,60.784205721059806,1490445.8059573895,1309379.3879220262,607842.057210598,60.616087455749515
2003-02-28,55.30946350097656,59.19366947174072,False,1,False,True,False,1.0,151.72386160053296,131.0528246458044,59.96492740898061,1517238.6160053296,1310528.246458044,599649.274089806,59.19366947174072
2003-03-31,55.42779541015625,57.82566963195801,False,3,True,False,False,3.0,150.86654622926437,126.8145945284435,60.093219456940886,1508665.4622926437,1268145.9452844348,600932.1945694089,57.82566963195801
2003-04-30,60.11764907836914,57.32732500076294,True,1,False,True,True,1.0,153.59583287701903,129.10876370138214,65.17782373570343,1535958.3287701902,1291087.6370138214,651778.2373570342,57.32732500076294
2003-05-31,63.41425704956055,57.852832317352295,True,3,True,True,True,4.0,162.01840519590817,136.1885644935556,68.75191115538829,1620184.0519590818,1361885.644935556,687519.1115538828,57.852832317352295
2003-06-30,64.0897445678711,58.414127044677734,True,3,True,True,True,4.0,163.74422231556446,137.63924261756375,69.48425526862395,1637442.2231556445,1376392.4261756376,694842.5526862396,58.414127044677734
2003-07-31,65.2451171875,59.63942255020142,True,3,True,True,True,4.0,166.69610786857183,140.1205227877224,70.73687698796405,1666961.0786857184,1401205.2278772239,707368.7698796405,59.63942255020142
2003-08-31,66.5908203125,60.395465259552005,True,3,True,True,True,4.0,170.13427279115788,143.01055706952454,72.1958495596875,1701342.7279115787,1430105.5706952454,721958.495596875,60.395465259552005
2003-09-30,65.86458587646484,61.20924053192139,True,3,True,True,True,4.0,168.27880131519615,141.45089478014194,71.40848709977176,1682788.0131519614,1414508.9478014193,714084.8709977176,61.20924053192139
2003-10-31,69.39009857177734,62.3137166595459,True,3,True,True,True,4.0,177.2862070780051,149.02229174065783,75.23074642886687,1772862.070780051,1490222.9174065783,752307.4642886687,62.3137166595459
2003-11-30,70.14788818359375,63.61557359695435,True,1,False,True,True,1.0,179.22229952933768,150.6497219783211,76.05232010157205,1792222.9952933767,1506497.2197832111,760523.2010157205,63.61557359695435
2003-12-31,73.67724609375,65.48550342559814,True,1,False,True,True,1.0,188.23952951158265,158.22937692866614,79.87874830185811,1882395.2951158264,1582293.7692866614,798787.483018581,65.48550342559814
2004-01-31,75.13388061523438,67.27669891357422,True,1,False,True,True,1.0,191.96111536789508,161.35764766307966,81.45798949881319,1919611.1536789509,1613576.4766307967,814579.894988132,67.27669891357422
2004-02-29,76.15348815917969,68.77202995300293,True,1,False,True,True,1.0,194.56613190331905,163.54735852964686,82.56341863314657,1945661.3190331904,1635473.5852964686,825634.1863314657,68.77202995300293
2004-03-31,75.144775390625,70.09461917877198,True,0,False,True,True,0.0,191.98895065629682,161.381045300929,81.46980130052093,1919889.5065629683,1613810.45300929,814698.0130052093,70.09461917877198
2004-04-30,73.72295379638672,71.16311874389649,True,0,False,True,True,0.0,188.3563090723774,158.3275388672903,79.92830327666987,1883563.090723774,1583275.388672903,799283.0327666986,71.16311874389649
2004-05-31,74.98536682128906,72.0396028137207,True,0,False,True,True,0.0,191.58167438468203,161.0386991908284,81.29697512063169,1915816.7438468202,1610386.991908284,812969.7512063169,72.0396028137207
2004-06-30,76.37266540527344,72.99970161437989,True,1,False,True,True,1.0,195.1261124111659,164.01806394990953,82.8010442910321,1951261.1241116591,1640180.6394990953,828010.4429103209,72.99970161437989
2004-07-31,73.91204071044922,73.6608345413208,True,1,False,True,True,1.0,188.8394111646384,157.3596179923581,80.13330586317203,1888394.111646384,1573596.179923581,801333.0586317203,73.6608345413208
2004-08-31,74.09207916259766,74.0737421798706,True,0,False,True,True,0.0,189.29939515322678,155.80131551028705,80.32849836786367,1892993.9515322677,1558013.1551028704,803284.9836786367,74.0737421798706
2004-09-30,74.83572387695312,74.59989475250244,True,0,False,True,True,0.0,191.1993485116345,155.1454984998794,81.13473655011636,1911993.4851163449,1551454.984998794,811347.3655011635,74.59989475250244
2004-10-31,75.79996490478516,74.78275035858154,True,0,False,True,True,0.0,193.6629079826809,154.06212022806832,82.18013890224168,1936629.079826809,1540621.2022806832,821801.3890224168,74.78275035858154
2004-11-30,79.17440795898438,75.09232372283935,True,1,False,True,True,1.0,202.28434277515163,160.92061748689744,85.83861287726445,2022843.4277515162,1609206.1748689744,858386.1287726446,75.09232372283935
2004-12-31,81.5592269897461,75.64712059020997,True,1,False,True,True,1.0,208.37736655279977,165.76772100074356,88.42416498735962,2083773.6655279978,1657677.2100074356,884241.6498735962,75.64712059020997
2005-01-31,79.73060607910156,76.1228687286377,True,1,False,True,True,1.0,203.70538492855763,162.05108056507635,86.44162686052705,2037053.8492855763,1620510.8056507634,864416.2686052705,76.1228687286377
2005-02-28,81.39727783203125,76.7350142288208,True,1,False,True,True,1.0,207.9635992790577,165.43856213321587,88.24858437471924,2079635.992790577,1654385.6213321586,882485.8437471924,76.7350142288208
2005-03-31,79.9083023071289,77.44365119934082,True,1,False,True,True,1.0,204.1593847199897,162.41224508119214,86.63427999328297,2041593.847199897,1624122.4508119214,866342.7999328297,77.44365119934082
2005-04-30,78.41117858886719,77.81971477508544,True,1,False,True,True,1.0,200.3343521721169,152.62145772990755,85.0111415752753,2003343.521721169,1526214.5772990754,850111.415752753,77.81971477508544
2005-05-31,80.93798828125,78.56084957122803,True,1,False,True,True,1.0,206.7901508464351,157.53970262301874,87.75063587135301,2067901.508464351,1575397.0262301874,877506.3587135301,78.56084957122803
2005-06-30,81.0605697631836,79.3806048965454,True,1,False,True,True,1.0,207.10333682595248,157.7782982518574,87.88353518370491,2071033.368259525,1577782.982518574,878835.3518370491,79.3806048965454
2005-07-31,84.16207122802734,80.16893325805664,True,1,False,True,True,1.0,215.0274274709636,163.81513742752946,91.246093748297,2150274.274709636,1638151.3742752946,912460.93748297,80.16893325805664
2005-08-31,83.37312316894531,80.99631938934326,True,1,False,True,True,1.0,213.01172765420196,162.27950940844784,90.39073898443326,2130117.2765420196,1622795.0940844784,903907.3898443326,80.99631938934326
2005-09-30,84.04220581054688,81.40116313934327,True,1,False,True,True,1.0,214.7211808210479,163.58182841373198,91.11613911480227,2147211.808210479,1635818.2841373198,911161.3911480226,81.40116313934327
2005-10-31,82.0545425415039,81.47314311981201,True,1,False,True,True,1.0,209.6428585651372,152.61912809756492,88.9611718434319,2096428.585651372,1526191.2809756491,889611.718434319,81.47314311981201
2005-11-30,85.66101837158203,81.95135433197021,True,0,False,True,True,0.0,218.85711872606882,159.32707112720348,92.87120907149249,2188571.1872606883,1593270.7112720348,928712.0907149249,81.95135433197021
