,Close,cash_return,sma_200,daily_return,trend_above_sma,always_timing_invested,buy_hold_invested,always_timing_return,buy_hold_return,always_timing_equity,buy_hold_equity,always_timing_growth_10k,buy_hold_growth_10k,trip_count,signal_score,timing_on,combined_invested,combined_return,combined_equity,combined_growth_10k
1961-01-19,1.0132727807275397,8.829996541415142e-05,0.9363396987538353,0.0016212605645402611,True,True,True,0.0016212605645402611,0.0016212605645402611,1.097166112226536,1.0985611664945856,10971.66112226536,10985.611664945856,3,4.0,True,True,0.0016212605645402611,1.097166112226536,10971.66112226536
1961-01-20,1.016608711077321,8.829996541392937e-05,0.9368490518653855,0.003292233259622357,True,True,True,0.003292233259622357,0.003292233259622357,1.1007782389925387,1.1021778861046485,11007.782389925387,11021.778861046485,3,4.0,True,True,0.003292233259622357,1.1007782389925387,11007.782389925387
1961-01-23,1.0223193748373054,8.829996541415142e-05,0.9372921801326263,0.005617366542071789,True,True,True,0.005617366542071789,0.005617366542071789,1.106961713842496,1.1083692232854643,11069.617138424961,11083.692232854642,3,4.0,True,True,0.005617366542071789,1.106961713842496,11069.617138424961
1961-01-24,1.025148318455122,8.829996541415142e-05,0.9377480150544444,0.002767181848888356,True,True,True,0.002767181848888356,0.002767181848888356,1.1100248782044553,1.1114362824820063,11100.248782044553,11114.362824820064,3,4.0,True,True,0.002767181848888356,1.1100248782044553,11100.248782044553
1961-01-25,1.0266210149422876,8.829996541415142e-05,0.9382213442342335,0.0014365691877493703,True,True,True,0.0014365691877493703,0.0014365691877493703,1.111619505742119,1.1130329375995667,11116.19505742119,11130.329375995667,3,4.0,True,True,0.0014365691877493703,1.111619505742119,11116.19505742119
1961-01-26,1.028263692024129,8.829996541415142e-05,0.938720458428047,0.0016000812938099518,True,True,True,0.0016000812938099518,0.0016000812938099518,1.1133981873190912,1.1148138807824142,11133.981873190913,11148.138807824142,3,4.0,True,True,0.0016000812938099518,1.1133981873190912,11133.981873190913
1961-01-27,1.038897886088873,8.829996541415142e-05,0.9392613899595293,0.010341893958942139,True,True,True,0.010341893958942139,0.010341893958942139,1.1249128333064238,1.1263431677214226,11249.128333064238,11263.431677214227,3,4.0,True,True,0.010341893958942139,1.1249128333064238,11249.128333064238
1961-01-30,1.0514007082857262,8.829996541437346e-05,0.9398642259082134,0.012034697889243384,True,True,True,0.012034697889243384,0.012034697889243384,1.1384508194069993,1.1398983674645633,11384.508194069993,11398.983674645633,3,4.0,True,True,0.012034697889243384,1.1384508194069993,11384.508194069993
1961-01-31,1.0482955634989464,8.791181894229894e-05,0.940440178117068,-0.002953340969155893,True,True,True,-0.002953340969155893,-0.002953340969155893,1.1350885859606756,1.1365318589152562,11350.885859606757,11365.318589152563,4,5.0,True,True,-0.002953340969155893,1.1350885859606756,11350.885859606757
1961-02-01,1.0504505288524355,8.791181894252098e-05,0.9410130636732658,0.0020556848931960747,True,True,True,0.0020556848931960747,0.0020556848931960747,1.1374219704192743,1.1388682102882643,11374.219704192743,11388.682102882643,4,5.0,True,True,0.0020556848931960747,1.1374219704192743,11374.219704192743
1961-02-02,1.057358053649058,8.791181894229894e-05,0.9416579155980671,0.0065757735437277365,True,True,True,0.0065757735437277365,0.0065757735437277365,1.144901399720412,1.1463571497352705,11449.01399720412,11463.571497352705,4,5.0,True,True,0.0065757735437277365,1.144901399720412,11449.01399720412
1961-02-03,1.056119699328404,8.791181894252098e-05,0.9423530381012819,-0.001171177839314086,True,True,True,-0.001171177839314086,-0.001171177839314086,1.1435605165728597,1.1450145616455614,11435.605165728597,11450.145616455613,4,5.0,True,True,-0.001171177839314086,1.1435605165728597,11435.605165728597
1961-02-06,1.0484301353649224,8.791181894252098e-05,0.9429967036678706,-0.007280958747736266,True,True,True,-0.007280958747736266,-0.007280958747736266,1.1352342996261529,1.1366777578566627,11352.342996261528,11366.777578566627,4,5.0,True,True,-0.007280958747736266,1.1352342996261529,11352.342996261528
1961-02-07,1.0466811516145045,8.791181894252098e-05,0.9436450864894903,-0.001668192940494917,True,True,True,-0.001668192940494917,-0.001668192940494917,1.1333405097817089,1.1347815600453885,11333.405097817089,11347.815600453885,4,5.0,True,True,-0.001668192940494917,1.1333405097817089,11333.405097817089
1961-02-08,1.056308072418204,8.791181894252098e-05,0.9443873391466912,0.009197567749118063,True,True,True,0.009197567749118063,0.009197567749118063,1.143764485903246,1.1452187903243558,11437.644859032462,11452.187903243557,4,5.0,True,True,0.009197567749118063,1.143764485903246,11437.644859032462
1961-02-09,1.05320099510557,8.791181894252098e-05,0.9450985659563641,-0.002941449936589846,True,True,True,-0.002941449936589846,-0.002941449936589846,1.1404001599287124,1.1418501865861748,11404.001599287123,11418.501865861748,4,5.0,True,True,-0.002941449936589846,1.1404001599287124,11404.001599287123
1961-02-10,1.0444885977559983,8.791181894252098e-05,0.9457656340273004,-0.008272302618455463,True,True,True,-0.008272302618455463,-0.008272302618455463,1.1309664246996471,1.1324044562977942,11309.664246996472,11324.044562977942,4,5.0,True,True,-0.008272302618455463,1.1309664246996471,11309.664246996472
1961-02-13,1.0384918904695772,8.791181894252098e-05,0.946441854004835,-0.005741285543283681,True,True,True,-0.005741285543283681,-0.005741285543283681,1.1244732235155799,1.1259029989637017,11244.7322351558,11259.029989637018,4,5.0,True,True,-0.005741285543283681,1.1244732235155799,11244.7322351558
1961-02-14,1.0431958906933985,8.791181894252098e-05,0.9471567319165177,0.004529645601463628,True,True,True,0.004529645601463628,0.004529645601463628,1.1295666887064408,1.1310029405306323,11295.666887064408,11310.029405306323,4,5.0,True,True,0.004529645601463628,1.1295666887064408,11295.666887064408
1961-02-15,1.0519783404257843,8.791181894252098e-05,0.9479348035420183,0.008418792492125515,True,True,True,0.008418792492125515,0.008418792492125515,1.1390762762646778,1.1405246195949434,11390.762762646778,11405.246195949434,4,5.0,True,True,0.008418792492125515,1.1390762762646778,11390.762762646778
1961-02-16,1.0585539485189124,8.791181894252098e-05,0.9486872002203988,0.006250706730774214,True,True,True,0.006250706730774214,0.006250706730774214,1.1461963080115907,1.1476537045112594,11461.963080115907,11476.537045112593,4,5.0,True,True,0.006250706730774214,1.1461963080115907,11461.963080115907
1961-02-17,1.055274968186999,8.791181894252098e-05,0.9494052152105752,-0.0030976034206864345,True,True,True,-0.0030976034206864345,-0.0030976034206864345,1.1426458464071159,1.1440987284704018,11426.458464071158,11440.987284704019,4,5.0,True,True,-0.0030976034206864345,1.1426458464071159,11426.458464071158
1961-02-20,1.0591331990754493,8.791181894252098e-05,0.9501568335389335,0.0036561379780275516,True,True,True,0.0036561379780275516,0.0036561379780275516,1.1468235172816004,1.1482817112821755,11468.235172816003,11482.817112821755,4,5.0,True,True,0.0036561379780275516,1.1468235172816004,11468.235172816003
1961-02-21,1.0599328239033672,8.791181894252098e-05,0.9509209671772116,0.0007549804204192156,True,True,True,0.0007549804204192156,0.0007549804204192156,1.1476893465828242,1.149148641491319,11476.893465828241,11491.48641491319,4,5.0,True,True,0.0007549804204192156,1.1476893465828242,11476.893465828241
1961-02-23,1.0639623873839976,8.791181894252098e-05,0.9517005118862377,0.0038017159104395404,True,True,True,0.0038017159104395404,0.0038017159104395404,1.1520525354319702,1.1535173781651364,11520.525354319701,11535.173781651365,4,5.0,True,True,0.0038017159104395404,1.1520525354319702,11520.525354319701
1961-02-24,1.0683328729701336,8.791181894252098e-05,0.9525328019910689,0.004107744444690198,True,True,True,0.004107744444690198,0.004107744444690198,1.1567848728343821,1.1582557327671479,11567.84872834382,11582.557327671479,4,5.0,True,True,0.004107744444690198,1.1567848728343821,11567.84872834382
1961-02-27,1.07627489778593,8.791181894252098e-05,0.9533917802945743,0.007434035792342808,True,True,True,0.007434035792342808,0.007434035792342808,1.1653844529830737,1.166866247341225,11653.844529830736,11668.66247341225,4,5.0,True,True,0.007434035792342808,1.1653844529830737,11653.844529830736
1961-02-28,1.0787772104577311,9.489267681228597e-05,0.9542394701878482,0.0023249754100451714,True,True,True,0.0023249754100451714,0.0023249754100451714,1.1680939431795083,1.169579182673105,11680.939431795083,11695.79182673105,4,5.0,True,True,0.0023249754100451714,1.1680939431795083,11680.939431795083
1961-03-01,1.0787291229123877,9.489267681228597e-05,0.9550490211930067,-4.457597442486527e-05,True,True,True,-4.457597442486527e-05,-4.457597442486527e-05,1.1680418742537713,1.1695270475413704,11680.418742537713,11695.270475413703,4,5.0,True,True,-4.457597442486527e-05,1.1680418742537713,11680.418742537713
1961-03-02,1.0859946189470027,9.489267681206393e-05,0.9558984443162458,0.0067352367524846635,True,True,True,0.0067352367524846635,0.0067352367524846635,1.1759089128136864,1.177404089094996,11759.089128136864,11774.04089094996,4,5.0,True,True,0.0067352367524846635,1.1759089128136864,11759.089128136864
